"Color","Category","Size","Currency","Value","Price","Vintage","Wine","Locale","Producer","Varietal"
"Red","Dry","750ml","USD","251.0257","0","2021","Méo-Camuzet Frère et Sours Chambolle-Musigny 1er Cru Les Charmes","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Méo-Camuzet Frère et Sours","Pinot Noir"
"Red","Dry","750ml","USD","230.2326","0","2022","Domaine Méo-Camuzet Vosne-Romanée 1er Cru Les Chaumes","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Domaine Méo-Camuzet","Pinot Noir"
"White","Dry","750ml","USD","56.6279","0","2018","Meyer-Fonné Riesling Kaefferkopf","France, Alsace, Alsace Grand Cru","Meyer-Fonné","Riesling"
"White","Dry","750ml","USD","105.3415","0","2022","Domaine Mie Ikeno Chardonnay","Japan, Ch&#363;bu, Yamanashi","Domaine Mie Ikeno","Chardonnay"
"Red","Dry","750ml","USD","101.1013","0","2022","Domaine Mie Ikeno Pinot Noir","Japan, Ch&#363;bu, Yamanashi","Domaine Mie Ikeno","Pinot Noir"
"Red","Dry","750ml","USD","65.101","0","2023","Domaine François Mikulski Monthélie Les Toisieres","France, Burgundy, Côte de Beaune, Monthélie","Domaine François Mikulski","Pinot Noir"
"Red","Dry","750ml","USD","131.0726","0","2023","Domaine François Mikulski Volnay 1er Cru Santenots-Du-Milieu","France, Burgundy, Côte de Beaune, Volnay 1er Cru","Domaine François Mikulski","Pinot Noir"
"Red","Dry","750ml","USD","115.7396","129","2022","Domaine François Mikulski Volnay 1er Cru Santenots-Du-Milieu","France, Burgundy, Côte de Beaune, Volnay 1er Cru","Domaine François Mikulski","Pinot Noir"
"Rosé","Sparkling","750ml","USD","66.6858","0","1001","Minière F & R Champagne Influence Brut Rosé","France, Champagne","Minière F & R","Champagne Blend"
"Red","Dry","750ml","USD","157.1299","0","2022","Jacques-Frédéric Mugnier Nuits-Saint-Georges 1er Cru Clos de la Maréchale","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Jacques-Frédéric Mugnier","Pinot Noir"
"White","Dry","750ml","USD","176.0772","0","2014","Egon Müller Scharzhofberger Riesling Spätlese","Germany, Mosel Saar Ruwer","Egon Müller","Riesling"
"White","Sweet/Dessert","375ml","USD","141.9017","0","2008","Müller-Catoir Haardter Herzog Rieslaner Trockenbeerenauslese","Germany, Pfalz","Müller-Catoir","Rieslaner"
"Red","Dry","750ml","USD","319.8665","0","2020","Next of Kyn No~14 Cumulus Vineyard","USA, California, Central Coast","Next of Kyn","Syrah Blend"
"Red","Dry","750ml","USD","297.9414","0","2021","Next of Kyn No~15 Cumulus Vineyard","USA, California, Central Coast","Next of Kyn","Syrah Blend"
"Red","Dry","750ml","USD","153.895","0","2023","Orin Swift Cabernet Sauvignon Mercury Head","USA, California, Napa Valley","Orin Swift","Cabernet Sauvignon"
"Red","Dry","750ml","USD","83.0833","0","2023","Orin Swift Papillon","USA, California, Napa Valley","Orin Swift","Red Bordeaux Blend"
"Red","Dry","750ml","USD","242.0573","0","2022","Tenuta dell'Ornellaia Bolgheri Superiore Ornellaia","Italy, Tuscany, Bolgheri, Bolgheri Superiore","Tenuta dell'Ornellaia","Red Bordeaux Blend"
"White","Dry","750ml","USD","53.2495","0","2022","Domaine des Perdrix Bourgogne Hautes-Côtes de Nuits Blanc","France, Burgundy, Bourgogne Hautes-Côtes de Nuits","Domaine des Perdrix","Chardonnay"
"Red","Dry","750ml","USD","213.0167","0","2018","Domaine des Perdrix Echezeaux","France, Burgundy, Côte de Nuits, Echezeaux Grand Cru","Domaine des Perdrix","Pinot Noir"
"Red","Dry","750ml","USD","215.1724","0","2020","Fattoria Poggio di Sotto Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Fattoria Poggio di Sotto","Sangiovese"
"White","Dry","750ml","USD","100.5142","0","2018","Querciabella Batàr","Italy, Tuscany, Toscana IGT","Querciabella","Chardonnay Blend"
"Red","Dry","750ml","USD","367.0539","0","2018","Giuseppe Quintarelli Amarone della Valpolicella Classico","Italy, Veneto, Valpolicella, Amarone della Valpolicella Classico","Giuseppe Quintarelli","Corvina Blend"
"Red","Dry","750ml","USD","155.4686","0","2016","Giuseppe Quintarelli Rosso del Bepi Veneto IGT","Italy, Veneto, Veneto IGT","Giuseppe Quintarelli","Corvina Blend"
"Red","Dry","750ml","USD","137.0337","0","2018","Giuseppe Quintarelli Valpolicella Classico Superiore","Italy, Veneto, Valpolicella, Valpolicella Classico Superiore","Giuseppe Quintarelli","Corvina Blend"
"Red","Dry","750ml","USD","123.5871","0","2017","Giuseppe Quintarelli Valpolicella Classico Superiore","Italy, Veneto, Valpolicella, Valpolicella Classico Superiore","Giuseppe Quintarelli","Corvina Blend"
"Red","Dry","750ml","USD","98.1156","0","2022","Raen Winery Pinot Noir Sea Field","USA, California, Sonoma County, Fort Ross - Seaview","Raen Winery","Pinot Noir"
"Red","Dry","750ml","USD","327.6378","0","2023","Realm Cellars Cabernet Sauvignon Beckstoffer To Kalon Vineyard","USA, California, Napa Valley, Oakville","Realm Cellars","Cabernet Sauvignon"
"Red","Dry","750ml","USD","459.5736","0","2023","Realm Cellars Cabernet Sauvignon Hartwell XX","USA, California, Napa Valley, Stags Leap District","Realm Cellars","Cabernet Sauvignon"
"Red","Dry","750ml","USD","293.6995","0","2023","Realm Cellars Houyi Vineyard","USA, California, Napa Valley","Realm Cellars","Cabernet Sauvignon"
"Red","Dry","750ml","USD","301.632","0","2023","Realm Cellars Moonracer","USA, California, Napa Valley, Stags Leap District","Realm Cellars","Red Bordeaux Blend"
"White","Dry","750ml","USD","109.0909","0","2023","Realm Cellars Sauvignon Blanc Fidelio","USA, California, Napa Valley","Realm Cellars","Sauvignon Blanc"
"Red","Dry","750ml","USD","140.0312","0","2022","Realm Cellars The Bard","USA, California, Napa Valley","Realm Cellars","Red Bordeaux Blend"
"Red","Dry","750ml","USD","149.2638","0","2022","Realm Cellars The Tempest","USA, California, Napa Valley","Realm Cellars","Red Bordeaux Blend"
"White","Dry","750ml","USD","97.8579","0","2021","Roagna Langhe Solea","Italy, Piedmont, Langhe, Langhe DOC","Roagna","Chardonnay Blend"
"White","Dry","750ml","USD","100.0661","0","2019","Roagna Montemarzino Derthona","Italy, Piedmont, Vino da Tavola","Roagna","Timorasso"
"White","Dry","750ml","USD","71.0401","0","2021","Maison Roche de Bellene Meursault","France, Burgundy, Côte de Beaune, Meursault","Maison Roche de Bellene","Chardonnay"
"White","Dry","750ml","USD","66.5723","0","2018","Domaine des Roches Neuves Saumur Blanc L'Echelier","France, Loire Valley, Anjou-Saumur, Saumur","Domaine des Roches Neuves","Chenin Blanc"
"White","Dry","750ml","USD","68.4715","0","2020","Domaine des Roches Neuves Saumur Clos Romans","France, Loire Valley, Anjou-Saumur, Saumur","Domaine des Roches Neuves","Chenin Blanc"
"White","Dry","750ml","USD","187.362","165","1001","Domaine des Roches Neuves Saumur Solera","France, Loire Valley, Anjou-Saumur, Saumur","Domaine des Roches Neuves","Chenin Blanc"
"Red","Dry","750ml","USD","675.5554","0","2019","Domaine G. Roumier / Christophe Roumier Chambolle-Musigny 1er Cru Les Cras","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Domaine G. Roumier / Christophe Roumier","Pinot Noir"
"Red","Dry","750ml","USD","282.5714","0","2022","Tenuta San Guido Sassicaia","Italy, Tuscany, Bolgheri, Bolgheri Sassicaia","Tenuta San Guido","Red Bordeaux Blend"
"Red","Dry","750ml","USD","140.6542","0","2019","Luciano Sandrone Barolo Aleste","Italy, Piedmont, Langhe, Barolo","Luciano Sandrone","Nebbiolo"
"Red","Dry","750ml","USD","114.1695","0","2020","Luciano Sandrone Barolo Le Vigne","Italy, Piedmont, Langhe, Barolo","Luciano Sandrone","Nebbiolo"
"Red","Dry","750ml","USD","42.759","0","2022","Luciano Sandrone Nebbiolo d'Alba Valmaggiore","Italy, Piedmont, Alba, Nebbiolo d'Alba","Luciano Sandrone","Nebbiolo"
"Red","Dry","750ml","USD","45.81","0","2020","Luciano Sandrone Nebbiolo d'Alba Valmaggiore","Italy, Piedmont, Alba, Nebbiolo d'Alba","Luciano Sandrone","Nebbiolo"
"Red","Dry","750ml","USD","103.8084","0","2023","Azienda Agricola Serragghia (Gabrio Bini) Catarratto Pantelleria Rosso Fanino","Italy, Sicily, Pantelleria","Azienda Agricola Serragghia (Gabrio Bini)","Catarratto"
"Orange","Dry","750ml","USD","92.8046","0","2023","Azienda Agricola Serragghia (Gabrio Bini) Zibibbo Bianco","Italy, Sicily, Terre Siciliane","Azienda Agricola Serragghia (Gabrio Bini)","Zibibbo"
"Red","Dry","750ml","USD","97.5644","0","2019","Sesti (Castello di Argiano) Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Sesti (Castello di Argiano)","Sangiovese"
"Red","Dry","750ml","USD","232.4804","0","2022","Sine Qua Non Grenache Distenta IV","USA, California, Central Coast","Sine Qua Non","Grenache"
"Red","Dry","750ml","USD","271.4153","0","2021","Sine Qua Non Syrah Distenta III","USA, California, Central Coast","Sine Qua Non","Syrah"
"Red","Dry","750ml","USD","248.1061","0","2022","Sine Qua Non Syrah Distenta IV","USA, California, Central Coast","Sine Qua Non","Syrah"
"Red","Dry","750ml","USD","269.8886","0","2004","Stag's Leap Wine Cellars Cabernet Sauvignon Cask 23","USA, California, Napa Valley, Stags Leap District","Stag's Leap Wine Cellars","Cabernet Sauvignon"
"White","Sweet/Dessert","375ml","USD","36.2382","0","2011","Château Suduiraut","France, Bordeaux, Sauternais, Sauternes","Château Suduiraut","Sémillon-Sauvignon Blanc Blend"
"Red","Dry","750ml","USD","157.2701","0","2022","Tenuta delle Terre Nere Etna Prephylloxera ""La Vigna di Don Peppino"" Calderara Sottana","Italy, Sicily, Etna DOC","Tenuta delle Terre Nere","Nerello Blend"
"Red","Dry","750ml","USD","50.7357","0","2022","Tenuta delle Terre Nere Etna Rosso Vecchie Vigne Moganazzi","Italy, Sicily, Etna DOC","Tenuta delle Terre Nere","Nerello Blend"
"Red","Dry","750ml","USD","174.1175","0","2021","The Mascot","USA, California, Napa Valley","The Mascot","Red Bordeaux Blend"
"Red","Dry","750ml","USD","145.3571","0","2021","The Setting Cabernet Sauvignon Oakville","USA, California, Napa Valley, Oakville","The Setting","Cabernet Sauvignon"
"Red","Dry","750ml","USD","87.3076","0","2023","Three Sticks Pinot Noir Gaps Crown Pinnacle","USA, California, Napa / Sonoma, Carneros","Three Sticks","Pinot Noir"
"Red","Dry","750ml","USD","62.7888","0","2023","Tongue Dancer Pinot de Ville","USA, California, Sonoma County, Sonoma Coast","Tongue Dancer","Pinot Noir"
"White","Dry","750ml","USD","60.0882","0","2017","Tyrrell's Sémillon Vat 1","Australia, New South Wales, Hunter Valley","Tyrrell's","Sémillon"
"White","Dry","750ml","USD","53.2137","0","2016","Tyrrell's Sémillon Vat 1","Australia, New South Wales, Hunter Valley","Tyrrell's","Sémillon"
"White","Dry","750ml","USD","55.3332","0","2024","Quintodecimo Fiano di Avellino Exultet","Italy, Campania, Fiano di Avellino DOCG","Quintodecimo","Fiano"
"Red","Dry","750ml","USD","241.4635","0","2016","Valdicava Brunello di Montalcino Riserva Madonna del Piano","Italy, Tuscany, Montalcino, Brunello di Montalcino","Valdicava","Sangiovese"
"Red","Dry","750ml","USD","77.3339","0","2018","Domaine Georges Vernay Côte-Rôtie Blonde du Seigneur","France, Rhône, Northern Rhône, Côte-Rôtie","Domaine Georges Vernay","Syrah"
"White","Sparkling","750ml","USD","144.5455","0","2012","Veuve Fourny & Fils Champagne Premier Cru Cuvée du Clos Notre Dame","France, Champagne, Champagne Premier Cru","Veuve Fourny & Fils","Chardonnay"
"White","Dry","750ml","USD","31.5982","0","2024","Domaine Vico Corse Clos Venturi Blanc","France, Corsica, Corse","Domaine Vico","Vermentinu"
"Red","Dry","750ml","USD","93.7858","0","2020","Domaine du Vieux Télégraphe Châteauneuf-du-Pape La Crau","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine du Vieux Télégraphe","Red Rhone Blend"
"Red","Dry","750ml","USD","79.7114","0","2019","Domaine du Vieux Télégraphe Châteauneuf-du-Pape La Crau","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine du Vieux Télégraphe","Red Rhone Blend"
"Red","Dry","750ml","USD","255.0433","0","2010","Roberto Voerzio Barolo Brunate","Italy, Piedmont, Langhe, Barolo","Roberto Voerzio","Nebbiolo"
"White","Dry","750ml","USD","39.3406","0","2022","von Winning Deidesheimer Grainhübel Riesling Großes Gewächs","Germany, Pfalz","von Winning","Riesling"
"White","Sweet/Dessert","1.5L","USD","722.5189","0","2019","Château d'Yquem","France, Bordeaux, Sauternais, Sauternes","Château d'Yquem","Sémillon-Sauvignon Blanc Blend"
